Faixa Etária 1;Masculino;Feminino;Total
0 a 4 anos;41585;39861;81446
5 a 9 anos;43452;41982;85434
10 a 14 anos;44832;43410;88242
15 a 19 anos;45066;43707;88773
20 a 24 anos;41928;40759;82687
25 a 29 anos;37682;37364;75046
30 a 34 anos;34274;33357;67631
35 a 39 anos;33141;32531;65672
40 a 44 anos;27781;27725;55506
45 a 49 anos;22430;22562;44992
50 a 54 anos;18386;18358;36744
55 a 59 anos;14231;14443;28674
60 a 64 anos;11290;11334;22624
65 a 69 anos;8216;8358;16574
70 a 74 anos;5337;5773;11110
75 a 79 anos;3311;4252;7563
80 e mais;3480;4613;8093
Total;436422;430389;866811
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
 ;;;
