Faixa Etária 1;Masculino;Feminino;Total
0 a 4 anos;43815;42034;85849
5 a 9 anos;44967;43529;88496
10 a 14 anos;45220;43932;89152
15 a 19 anos;42312;40986;83298
20 a 24 anos;38035;37591;75626
25 a 29 anos;34671;33763;68434
30 a 34 anos;33595;32871;66466
35 a 39 anos;28286;27868;56154
40 a 44 anos;23033;22784;45817
45 a 49 anos;19037;18789;37826
50 a 54 anos;14971;15056;30027
55 a 59 anos;12156;11994;24150
60 a 64 anos;9170;8992;18162
65 a 69 anos;6274;6340;12614
70 a 74 anos;4198;4888;9086
75 a 79 anos;2779;3217;5996
80 anos e mais;2902;3458;6360
Total;405421;398092;803513
;;;
;;;
;;;
 ;;;
;;;
;;;
 ;;;
